#|ItemCodeFG|ItemNameFG|ItemCodeRM|ItemNameRM|Supplier|Bentuk|Material|Warna Dasar|Warna Cetakan|Panjang|Lebar|Tinggi|Tebal|Tinggi Leher|Diam Dalam Mulut|Diam Luar Mulut|Diam Dalam|Diam Luar|Panjang Selang|Berat|Volume|Barcode|POM NA|Tipe|Group
1|FGBMA2001|Camellia Body Mist Cologne Magical (Blue) 100ml|RMLPC0795|Partisi inner Camellia Bodymist/Camellia Hand Spray/Marie Jose Bodymist 100ml|ASIAPAPERCON INTERNUSA. PT|||||||||||||||||||||kp
2|FGBMA2001|Camellia Body Mist Cologne Magical (Blue) 100ml|RMLPC0794|Carton INNER Camellia Bodymist 100ml|ASIAPAPERCON INTERNUSA. PT|Balok|Kertas Karton|Coklat|Biru|164 - 168|138 - 142|160 - 165||||||||84.60 - 86.70|||||
3|FGBMA2001|Camellia Body Mist Cologne Magical (Blue) 100ml|RMLPC0793|Carton BOX Camellia Bodymist 100ml|ASIAPAPERCON INTERNUSA. PT|Balok|Kertas Karton|Coklat|Merah|430-440|345 - 355|185 - 194||||||||396.40 - 398.90|||||
4|FGBMA2001|Camellia Body Mist Cologne Magical (Blue) 100ml|RMLPC0789|Botol Camellia Bodymist 100ml Blue|PRISKILA INJECTION|Persegi|PET|Biru Muda||49.40 - 50.40|30.50 - 31.40|122.10 - 123.20|1.62 - 1.80||14.00 - 14.60|17.60 - 20.40||||13.70 - 14.30|97 - 102|||kp|botol
5|FGBMA2001|Camellia Body Mist Cologne Magical (Blue) 100ml|RMLPC0782|Sticker Camellia Bodymist 100ml Blue (MAGICAL) BACK|SATYAMITRA LABELJAYA PRATAMA, PT|Persegi|PP White|Biru Tua|Putih, Biru Tua, Biru Muda, Hijau, Ungu, Silver, Hitam|||||||||||0.30 - 0.50||8992832604148|18140601860||
6|FGBMA2001|Camellia Body Mist Cologne Magical (Blue) 100ml|RMLPC0781|Sticker Camellia Bodymist 100ml Blue (MAGICAL) FRONT|SATYAMITRA LABELJAYA PRATAMA, PT|Persegi|PP White|Biru Tua|Putih, Biru Tua, Biru Muda, Hijau, Ungu, Silver, Hitam|||||||||||0.30 - 0.50||8992832604148|18140601860||
7|FGBMA2001|Camellia Body Mist Cologne Magical (Blue) 100ml|RMFCL0022|20mm Screw Mist Pump BLUE (125mm FBOG)|YIWU SUPPLY & MARKETING IMPORT AND EXPORT CO., LTD|Silinder|PP - LDEP|Biru Tua|||1.05 - 1.56||||20.00 - 20.48|21.88 - 23.40|124.00 - 128.00|5.85 - 7.35||||||
8|FGBMA2002|Camellia Body Mist Cologne Allure (Orange) 100ml|RMLPC0795|Partisi inner Camellia Bodymist/Camellia Hand Spray/Marie Jose Bodymist 100ml|ASIAPAPERCON INTERNUSA. PT|||||||||||||||||||||
9|FGBMA2002|Camellia Body Mist Cologne Allure (Orange) 100ml|RMLPC0794|Carton INNER Camellia Bodymist 100ml|ASIAPAPERCON INTERNUSA. PT|Balok|Kertas Karton|Coklat|Biru|164 - 168|138 - 142|160 - 165||||||||84.60 - 86.70|||||
10|FGBMA2002|Camellia Body Mist Cologne Allure (Orange) 100ml|RMLPC0793|Carton BOX Camellia Bodymist 100ml|ASIAPAPERCON INTERNUSA. PT|Balok|Kertas Karton|Coklat|Merah|430-440|345 - 355|185 - 194||||||||396.40 - 398.90|||||
11|FGBMA2002|Camellia Body Mist Cologne Allure (Orange) 100ml|RMLPC0790|Botol Camellia Bodymist 100ml Orange|PRISKILA INJECTION|Persegi|PET|Orange||49.40 - 50.40|30.50 - 31.40|122.10 - 123.20|1.62 - 1.80||14.00 - 14.60|17.60 - 20.40||||13.70 - 14.30|97 - 102||||
12|FGBMA2002|Camellia Body Mist Cologne Allure (Orange) 100ml|RMLPC0784|Sticker Camellia Bodymist 100ml Orange (ALLURE) BACK|SATYAMITRA LABELJAYA PRATAMA, PT|Persegi|PP White|Orange|Putih, Orange, Hijau, Coklat, Silver, Hitam|||||||||||0.30 - 0.50||8992832604155|18140601861||
13|FGBMA2002|Camellia Body Mist Cologne Allure (Orange) 100ml|RMLPC0783|Sticker Camellia Bodymist 100ml Orange (ALLURE) FRONT|SATYAMITRA LABELJAYA PRATAMA, PT|Persegi|PP White|Orange|Putih, Orange, Hijau, Coklat, Silver, Hitam|||||||||||0.30 - 0.50||8992832604155|18140601861||
